"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"25893548","Ford Focus, 2010","https://www.donedeal.ie/cars-for-sale/ford-focus-2010/25893548","Ford","Focus","2010","165000 km","Diesel","Manual","Hatchback","5","1.6","200","Oct 2020","Ireland","Gold","5","24","51 mins"
"25612208","Toyota Yaris Hybrid Luna 4DR Auto","https://www.donedeal.ie/cars-for-sale/toyota-yaris-hybrid-luna-4dr-auto/25612208","Toyota","Yaris","2018","9523 km","Hybrid","Automatic","MPV","","1.5","170","Mar 2022","Ireland","Red","4","14","58 mins"
"25890044","2007 Nissan Note Nct 01/2021 tax 03/2021","https://www.donedeal.ie/cars-for-sale/2007-nissan-note-nct-01-2021-tax-03-2021/25890044","Nissan","Note","2007","289000 km","Petrol","Manual","MPV","5","1.4","385","Jan 2021","Ireland","Silver","5","36","1 hour"
"24865791","Renault Clio V Dynamique TCE 100 My19","https://www.donedeal.ie/cars-for-sale/renault-clio-v-dynamique-tce-100-my19/24865791","Renault","Clio","2020","20 km","Petrol","Manual","Hatchback","","1.0","180","Jan 2024","Ireland","Orange","5","10","1 hour"
"24666596","2016 Volkswagen Golf new 18"alloys","https://www.donedeal.ie/cars-for-sale/2016-volkswagen-golf-new-18-quotalloys/24666596","Volkswagen","Golf","2016","108358 mi","Diesel","Manual","Hatchback","","1.6","200","","Ireland","Blue","5","24","1 hour"
"25883267","VW Golf 1.4 Sport","https://www.donedeal.ie/cars-for-sale/vw-golf-1-4-sport/25883267","Volkswagen","Golf","2007","213723 km","Petrol","Manual","Hatchback","5","1.4","385","Feb 2021","Ireland","Red","3","321","1 day"
"25673496","2015 MERCEDES BENZ E220","https://www.donedeal.ie/cars-for-sale/2015-mercedes-benz-e220/25673496","Mercedes-Benz","E220","2015","95000 mi","Diesel","Automatic","Saloon","","2.1","200","Jul 2022","Ireland","Blue","4","22","1 hour"
"25859194","Skoda Fabia 1.2 TSI Estate","https://www.donedeal.ie/cars-for-sale/skoda-fabia-1-2-tsi-estate/25859194","Skoda","Fabia","2011","190000 km","Petrol","Manual","","5","1.2","200","Jul 2021","Ireland","Beige","5","265","3 days"
"25874543","Audi A5 2.0 TD S Line Quattro 2016","https://www.donedeal.ie/cars-for-sale/audi-a5-2-0-td-s-line-quattro-2016/25874543","Audi","A5","2016","69000 km","Diesel","Manual","Hatchback","","2.0","280","Oct 2020","Ireland","Black","4","308","1 day"
"25731701","162 Ford Mondeo ST-Line","https://www.donedeal.ie/cars-for-sale/162-ford-mondeo-st-line/25731701","Ford","Mondeo","2016","50000 km","Diesel","","Hatchback","5","2.0","200","Oct 2020","Ireland","Blue","","1,250","17 days"
"25684272","TOYOTA AVENSIS 1.6 DIESEL","https://www.donedeal.ie/cars-for-sale/toyota-avensis-1-6-diesel/25684272","Toyota","Avensis","2015","68600 mi","Diesel","Manual","Saloon","","1.6","","Aug 2022","Ireland","Grey","4","15","1 hour"
"25729968","141 Audi A3 1.6 Sport line new 19 inc TTRS rims","https://www.donedeal.ie/cars-for-sale/141-audi-a3-1-6-sport-line-new-19-inc-ttrs-rims/25729968","Audi","A3","2014","180000 km","Diesel","","Hatchback","","1.6","180","Feb 2020","Ireland","White","","125","21 hours"
"25841529","Lexus CT 200H F-sport Finance Available own This","https://www.donedeal.ie/cars-for-sale/lexus-ct-200h-f-sport-finance-available-own-this/25841529","Lexus","CT","2014","11043 mi","Electric","Manual","Hatchback","","1.8","","Jul 2020","Ireland","Silver","5","248","5 days"
"25846194","Mercedes A class","https://www.donedeal.ie/cars-for-sale/mercedes-a-class/25846194","Mercedes-Benz","A-Class","2013","145300 km","Diesel","Automatic","Hatchback","5","1.8","190","Feb 2021","Ireland","Black","5","885","4 days"
"25875086","Ford Focus Hatchback Diesel Silver","https://www.donedeal.ie/cars-for-sale/ford-focus-hatchback-diesel-silver/25875086","Ford","Focus","2008","173800 km","Diesel","Manual","Hatchback","5","1.8","280","Mar 2021","Ireland","Silver","5","267","1 day"
"25844991","Volkswagen Golf 1.4tsi 122PS DSG Gti Alloys","https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-4tsi-122ps-dsg-gti-alloys/25844991","Volkswagen","Golf","2013","107168 mi","Petrol","Automatic","Hatchback","","1.4","","Sep 2022","UK","Black","5","121","1 day"
"22410453","Mitsubishi Outlander Spacious suv 7seater Low Mi","https://www.donedeal.ie/cars-for-sale/mitsubishi-outlander-spacious-suv-7seater-low-mi/22410453","Mitsubishi","Outlander","2016","70000 mi","Diesel","Manual","MPV","","2.0","","Sep 2021","Other","Black","5","11","45 mins"
"25852411","VW GOLF 1.6 DIESEL NCT 2/22","https://www.donedeal.ie/cars-for-sale/vw-golf-1-6-diesel-nct-2-22/25852411","Volkswagen","Golf","2016","106000 km","Diesel","Manual","Estate","5","1.6","190","Jun 2022","Ireland","Black","5","142","4 days"
"25765575","Renault Megane GT 1.5 dci 110bhp","https://www.donedeal.ie/cars-for-sale/renault-megane-gt-1-5-dci-110bhp/25765575","Renault","Megane","2012","122100 km","Diesel","Manual","Hatchback","5","1.5","200","May 2022","Ireland","Silver","4","393","3 days"
"25860592","Maserati Ghibli, 2015~ Immaculate ~","https://www.donedeal.ie/cars-for-sale/maserati-ghibli-2015-immaculate/25860592","Maserati","Ghibli","2015","53258 km","Diesel","Automatic","Saloon","","3.0","570","Nov 2021","Ireland","Blue","4","654","3 days"
"25739469","2012 Audi A1 Sport 1.6 Diesel New Nct","https://www.donedeal.ie/cars-for-sale/2012-audi-a1-sport-1-6-diesel-new-nct/25739469","Audi","A1","2012","111000 mi","Diesel","Manual","Hatchback","","1.6","180","Jul 2022","Ireland","Red","2","235","2 days"
"25722843","Hyundai I40, 2013 "€6999 GOOD VALUE"","https://www.donedeal.ie/cars-for-sale/hyundai-i40-2013-quot6999-good-value-quot/25722843","Hyundai","I40","2013","189000 mi","Diesel","Manual","Estate","5","1.7","200","Oct 2021","Ireland","White","4","157","2 days"
"25848947","2016 Opel Insignia tdi top spec fully loaded","https://www.donedeal.ie/cars-for-sale/2016-opel-insignia-tdi-top-spec-fully-loaded/25848947","Opel","Insignia","2016","119000 mi","Diesel","Manual","Hatchback","5","2.0","200","Feb 2022","Ireland","Black","5","116","18 hours"
"25238785","Citroen Grand C4 Picasso Flair Low Mileage Flai","https://www.donedeal.ie/cars-for-sale/citroen-grand-c4-picasso-flair-low-mileage-flai/25238785","Citroen","C4 GRAND PICASSO","2016","30000 mi","","","MPV","","1.6","","Jul 2022","Other","Grey","5","6","44 mins"
"25875070","Toyota Avensis 1.6d SOL Irish Car Leather Sat Nav","https://www.donedeal.ie/cars-for-sale/toyota-avensis-1-6d-sol-irish-car-leather-sat-nav/25875070","Toyota","Avensis","2016","74700 mi","Diesel","Manual","Saloon","","1.6","190","May 2022","Ireland","Grey","4","67","1 day"
"25848139","🏁🚨2011 AUDI A1 1.6 SPORT DIESEL FOR SALE🏁🚨","https://www.donedeal.ie/cars-for-sale/2011-audi-a1-1-6-sport-diesel-for-sale/25848139","Audi","A1","2011","75000 mi","Diesel","Manual","Hatchback","4","1.6","","","UK","Black","3","272","4 days"
"25285823","Hyundai i30 new model LOW MILAGE","https://www.donedeal.ie/cars-for-sale/hyundai-i30-new-model-low-milage/25285823","Hyundai","i30","2018","15950 mi","Petrol","","Hatchback","5","1.0","270","Sep 2022","Ireland","Black","5","625","26 days"
"24879428","Renault KADJAR Dynamique NAV Energy Finance Arran","https://www.donedeal.ie/cars-for-sale/renault-kadjar-dynamique-nav-energy-finance-arran/24879428","Renault","KADJAR","2018","38529 mi","Diesel","Automatic","SUV","","1.5","","Feb 2022","Ireland","Grey","5","97","7 days"
"25461643","Ford Fiesta Zetec 1.10 70ps 5spd 4D","https://www.donedeal.ie/cars-for-sale/ford-fiesta-zetec-1-10-70ps-5spd-4d/25461643","Ford","Fiesta","2019","10200 km","Petrol","Manual","Hatchback","","1.1","200","Jan 2023","Ireland","Red","4","34","1 day"
"25127158","Toyota Prius GS Spec Bodykit Low Mileage Prist","https://www.donedeal.ie/cars-for-sale/toyota-prius-gs-spec-bodykit-low-mileage-prist/25127158","Toyota","Prius","2014","60000 mi","Hybrid","Automatic","Hatchback","","1.0","","Feb 2022","Other","Black","5","21","44 mins"
