"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"25754927","Vauxhall Zafira, 2015 NCT 08/22","https://www.donedeal.ie/cars-for-sale/vauxhall-zafira-2015-nct-08-22/25754927","Opel","Zafira","2015","41000 mi","Petrol","Manual","MPV","5","1.4","","Aug 2022","UK","Green","5","4","52 mins"
"25435934","2007 citroen grand picasso 1.8 petrol","https://www.donedeal.ie/cars-for-sale/2007-citroen-grand-picasso-1-8-petrol/25435934","Citroen","C4 GRAND PICASSO","2007","140000 mi","Petrol","Manual","MPV","7","1.8","650","Oct 2021","Ireland","Silver","5","8","52 mins"
"25589050","Renault Kadjar, 2017","https://www.donedeal.ie/cars-for-sale/renault-kadjar-2017/25589050","Renault","Kadjar","2017","99000 mi","Diesel","Manual","SUV","5","1.5","190","","UK","Grey","5","16","52 mins"
"25859074","Audi A5","https://www.donedeal.ie/cars-for-sale/audi-a5/25859074","Audi","A5","2017","57500 km","Diesel","","Hatchback","5","2.0","190","Apr 2021","Ireland","Black","","235","1 day"
"25819808","Volkswagen Caddy, 2008 NCT 01/21","https://www.donedeal.ie/cars-for-sale/volkswagen-caddy-2008-nct-01-21/25819808","Volkswagen","Caddy Maxi","2008","160000 mi","Diesel","Manual","MPV","","1.9","570","Jan 2021","Ireland","White","","24","50 mins"
"21545121","OPEL Zafira 2011 NEW NCT 03/21","https://www.donedeal.ie/cars-for-sale/opel-zafira-2011-new-nct-03-21/21545121","Opel","Zafira","2011","89000 mi","Diesel","Manual","MPV","7","1.7","280","Mar 2021","Ireland","Blue","5","4","52 mins"
"25364537","Ford Fiesta 1.1l 85 PS Titanium","https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-1l-85-ps-titanium/25364537","Ford","Fiesta","2018","12427 mi","Petrol","Manual","Hatchback","","1.1","","Feb 2022","Ireland","Red","5","5","51 mins"
"25361835","Renault Megane 2011 NCT 06/21","https://www.donedeal.ie/cars-for-sale/renault-megane-2011-nct-06-21/25361835","Renault","Megane","2011","150000 mi","Diesel","Manual","Hatchback","5","1.5","200","Jun 2021","Ireland","Grey","5","6","51 mins"
"25363799","Ford C-MAX, 2007 NCT 02/21","https://www.donedeal.ie/cars-for-sale/ford-c-max-2007-nct-02-21/25363799","Ford","C-MAX","2007","165000 mi","Diesel","Manual","Hatchback","","1.6","514","Feb 2021","Ireland","Silver","5","5","52 mins"
"25499372","Jaguar xf 2.7 diesel","https://www.donedeal.ie/cars-for-sale/jaguar-xf-2-7-diesel/25499372","Jaguar","XF","2008","190000 mi","Diesel","Automatic","Saloon","5","2.7","1,200","Aug 2021","Ireland","Grey","4","1,055","11 days"
